"Alue","SDP","PS","KOK","KESK","VIHR","VAS","RKP","KD","SIN","PIR","STL","KP","FP","LIB","SKP","EOP","IP","SKE","KTP","Muut","Vaalipiiri"
"Sonkajärvi",11.2,29.4,6.5,28.7,3.6,6.7,0,11.3,0.8,0.1,0.4,0.2,0,0,0.5,0,0,0.1,0,0.7,"Savo-Karjala"
"Suonenjoki",13.9,19.3,10.6,31.3,4.9,7.3,0,8.8,1.3,0.2,0.3,0.4,0.1,0,0.1,0,0.1,0.1,0,1.3,"Savo-Karjala"
"Tervo",11.3,17.4,7,38.6,4.2,4.7,0,9,6,0,0.6,0.1,0,0,0.2,0,0,0,0,1,"Savo-Karjala"
"Tohmajärvi",21.9,18.4,8.1,30.5,3.6,3.1,0,6.7,3.1,0,0.2,3.4,0,0,0.1,0,0,0,0,0.8,"Savo-Karjala"
"Tuusniemi",10,18.5,8.3,32.9,4.4,14.5,0,7.1,1.7,0.1,0.4,0.3,0.1,0,0.8,0,0.1,0,0,0.8,"Savo-Karjala"
"Valtimo",18.2,19.3,2.9,35.6,3.7,5.1,0,10.9,2.2,0.1,0.5,0.1,0,0,0.3,0,0,0.1,0.1,1,"Savo-Karjala"
"Varkaus",31.5,13.3,14,8.2,5.1,18.2,0,7.5,0.5,0.2,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0.9,"Savo-Karjala"
"Vesanto",14.7,15.1,9,42.3,4.4,3.5,0,5.9,2,0,0.2,1.8,0.1,0,0.3,0,0,0.3,0.1,0.4,"Savo-Karjala"
"Vieremä",8.6,22.7,7.8,37.4,3.3,8.4,0,8.5,1,0.2,0.7,0.6,0,0,0.2,0,0,0.2,0,0.6,"Savo-Karjala"
"Alajärvi",5.3,24.4,7.7,37.7,2.5,2.9,0.2,8.8,9.5,0,0.3,0.4,0,0,0,0,0.1,0,0.1,0.1,"Vaasa"
"Alavus",9.5,31.6,12.1,34.2,2.8,2,0.2,5.5,0.6,0.2,0.4,0.7,0,0,0.1,0,0.1,0,0,0.1,"Vaasa"
"Evijärvi",7.1,21.9,10.4,39,1.3,5.8,0.9,8.6,3.8,0.1,0.3,0.6,0,0,0,0,0,0,0.1,0,"Vaasa"
"Halsua",4.6,17.6,14.3,46.1,3.1,1.1,0.3,10.1,2.1,0.1,0.6,0,0,0,0,0,0,0,0,0,"Vaasa"
"Ilmajoki",11,24.4,16.1,33.2,3.3,1.7,0.3,6,1.5,0.1,0.4,1.6,0,0.1,0,0,0.1,0,0,0.1,"Vaasa"
"Isojoki",8.9,22.8,13,45,1.4,3.3,0.6,3.1,0.7,0.2,0.4,0.4,0.2,0,0,0,0.2,0,0,0,"Vaasa"
"Isokyrö",11.9,22.1,20.2,30.4,2.4,2.3,0.9,5.7,0.8,0.3,0.8,1.5,0,0,0.1,0,0.2,0,0,0.3,"Vaasa"
"Kannus",16.7,20.5,3.9,47.2,3.4,1.9,0.4,4.2,0.6,0.1,0.4,0.2,0.1,0.2,0.1,0,0,0,0,0.1,"Vaasa"
"Karijoki",8.8,24,12.8,45,0.8,2.9,1.4,2.4,0.5,0,0.2,1,0,0,0,0,0,0,0,0.1,"Vaasa"
"Kaskinen",32.9,13.4,8.2,3.3,3.7,6.5,27,2,0.7,0,1.6,0.1,0.1,0,0.1,0,0.1,0,0.2,0,"Vaasa"
"Kauhajoki",8.1,22.7,12.4,45.2,3.1,3.3,0.4,2.3,0.5,0.1,0.3,1.4,0.1,0,0,0,0,0,0,0,"Vaasa"
"Kauhava",8.5,23,17,33.5,1.2,1.4,0.6,11.8,1.1,0.1,0.7,0.7,0,0.1,0,0,0,0,0,0.2,"Vaasa"
"Kaustinen",7.4,22.3,7.8,47.6,4.7,1.7,1.2,4.7,1,0,0.5,0.6,0,0.2,0,0,0,0,0,0,"Vaasa"
"Kokkola",18.6,19,8.3,22.8,7.3,4.8,8.5,8.5,0.6,0.2,0.4,0.5,0.1,0.1,0,0,0.1,0,0,0,"Vaasa"
"Korsnäs",3.5,1.1,0.5,0.4,0.4,0.6,92.6,0.9,0,0,0.1,0,0.1,0,0,0,0,0,0,0,"Vaasa"
"Kristiinankaupunki",10.8,9.2,7.1,8.3,1.7,2.3,55.8,3.6,0.3,0.1,0.4,0.1,0.1,0,0,0,0,0,0,0,"Vaasa"
"Kruunupyy",7.4,5.3,2.5,5.3,1.8,1,66.3,9.3,0.3,0.2,0.1,0.3,0,0,0.1,0,0.1,0,0.1,0,"Vaasa"
"Kuortane",6.1,24.1,23,33.5,3,0.9,0.3,6.8,1,0.1,0.3,0.6,0,0,0,0,0.1,0,0,0,"Vaasa"
"Kurikka",11,25.2,16.1,31.4,6,4,0.4,3.4,1,0.1,0.5,0.5,0.1,0.1,0,0,0,0,0.1,0.1,"Vaasa"
"Laihia",16.3,29.3,17.5,20.7,3,4.3,2.4,3.6,0.6,0.2,0.7,0.9,0.1,0.1,0.1,0,0,0,0,0.1,"Vaasa"
"Lappajärvi",7.5,21,8.3,42.5,2.5,1.2,0.3,10.7,4.5,0.2,0.5,0.4,0,0.1,0,0,0,0,0,0.1,"Vaasa"
"Lapua",8.2,21.2,29.9,27.3,2.1,1.6,0.3,6.3,1.3,0.2,0.4,0.9,0,0,0,0,0.1,0,0,0,"Vaasa"
"Lestijärvi",9.1,13.6,2.8,49.7,3.5,14.7,0.9,4.3,0.4,0,0.2,0.2,0.2,0,0,0,0.2,0,0.2,0,"Vaasa"
"Luoto",8,1.7,1,1,0.4,0.7,38.9,48.1,0,0,0,0,0,0,0,0,0,0,0,0,"Vaasa"
"Maalahti",7.3,2.4,0.8,0.5,0.5,1,85.6,1.6,0,0,0,0.1,0,0,0.1,0,0,0,0,0,"Vaasa"
"Mustasaari",11.2,7.8,4,1.2,2.1,1.8,68,3.3,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,"Vaasa"
"Närpiö",4.9,1.6,0.4,0.5,0.6,0.6,88.9,2.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,"Vaasa"
"Perho",10.2,22.8,3.8,49.6,1.6,3.6,0.4,4.3,2.7,0.1,0.1,0.4,0.1,0,0.1,0,0.1,0,0,0,"Vaasa"
"Pietarsaari",18,9,2.7,2.4,3.2,8.7,46.6,8.6,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,"Vaasa"
"Pedersören kunta",8.8,2.4,0.9,0.8,0.7,1.4,61.2,23.5,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,"Vaasa"
"Seinäjoki",13.7,18.9,21.8,24.4,6.8,2.5,0.4,6.8,1.1,0.3,0.3,2.3,0.1,0.1,0,0,0.1,0,0,0.3,"Vaasa"
"Soini",6,23.6,7,39.6,2,1.9,0.2,10.4,8.2,0.1,0.3,0.3,0,0,0,0,0,0,0,0.4,"Vaasa"
"Teuva",6.9,18.9,16,39.5,1.4,11.6,0.7,3.2,0.5,0,0.5,0.6,0,0,0,0,0,0,0.1,0,"Vaasa"
"Toholampi",7.9,16.4,2.5,66.1,1.8,2,0.1,2,0.3,0.1,0.2,0.3,0,0.1,0,0,0,0,0,0,"Vaasa"
"Uusikaarlepyy",9.1,2.7,0.9,0.6,1,1.7,77.2,6.5,0,0,0.1,0,0,0,0,0,0,0,0,0,"Vaasa"
"Vaasa",22.2,17.3,13,3.8,6.6,4.7,27.3,3.5,0.2,0.4,0.3,0.3,0.1,0.2,0.1,0,0,0,0.1,0,"Vaasa"
"Veteli",8.5,26.6,5.7,44.4,2.9,1.1,1.2,6.5,2.3,0.1,0.4,0.2,0,0.2,0.1,0,0,0,0,0,"Vaasa"
"Vimpeli",9.8,18,5.7,34.3,2.4,6.6,0.5,6.8,15.2,0,0.2,0.1,0.1,0.1,0.2,0,0.1,0,0,0.1,"Vaasa"
"Vöyri",6.1,3.2,1.2,1.1,1.1,1.1,82.2,3.4,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0,0,"Vaasa"
"Ähtäri",21.1,16.9,9.8,40.3,2.7,2.7,0.1,4.8,0.6,0.1,0.1,0.5,0,0,0.1,0,0.2,0,0,0,"Vaasa"
"Hankasalmi",15.6,24.2,6.2,32.9,4.5,8.7,0,4.3,0.5,0.2,0.6,0.3,0,0,0.1,0.1,0,0.1,0,1.5,"Keski-Suomi"
"Joutsa",15.5,24.2,12.3,31.6,5,3.4,0,4.6,0.6,0.6,0.2,0.1,0.1,0,0.1,0.2,0,0,0,1.6,"Keski-Suomi"
"Jyväskylä",18.5,15.1,15.1,14.5,16.9,8.6,0,5.6,0.5,1.2,0.2,0.2,0.2,0,0.3,0.1,0,0,0,2.8,"Keski-Suomi"
"Jämsä",24.9,23.1,11.6,14.8,4.4,6.3,0,3.5,0.5,0.4,0.2,0.5,0.1,0,0.2,0.1,0,0,0.1,9.3,"Keski-Suomi"
"Kannonkoski",21.6,21.5,6.9,38.3,4.6,3.1,0,2.1,0.5,0,0.3,0.3,0,0,0.1,0.1,0,0,0.1,0.4,"Keski-Suomi"
"Karstula",15.8,22.2,10.1,39.1,2.6,2.4,0,6.2,0.3,0.2,0.4,0.1,0.1,0,0,0,0,0,0,0.6,"Keski-Suomi"
"Keuruu",19.7,20,11.3,25.8,7,4.7,0,8.4,0.4,0.3,0.1,0.3,0,0,0.1,0.1,0,0,0,1.8,"Keski-Suomi"
"Kinnula",12.6,19.2,5.8,54,0.3,4.4,0,2.2,0,0.2,0.1,0,0.1,0,0,0,0,0,0.1,1,"Keski-Suomi"
"Kivijärvi",16.9,16.7,4.6,54.2,1.1,1.5,0,3.7,0.6,0,0.3,0.2,0,0,0,0,0,0,0,0.2,"Keski-Suomi"
"Konnevesi",15,22.2,5.8,35.1,4.2,9.4,0,5.7,0.1,0.3,0.1,0.2,0,0,0.1,0.1,0,0.1,0,1.5,"Keski-Suomi"
"Kuhmoinen",18.5,21.7,16.8,23.6,3.8,3.4,0,7.8,0.5,0.5,0.1,0.2,0.1,0,0.2,0.2,0,0.1,0.1,2.6,"Keski-Suomi"
"Kyyjärvi",8.5,19.2,3.5,55.6,3,2.4,0,6.4,0,0.3,0.4,0,0.1,0,0,0,0,0,0,0.6,"Keski-Suomi"
"Laukaa",18.4,21.6,10.8,23.8,7.4,7.1,0,6,0.6,0.4,0.7,0.2,0.1,0,0.1,0.1,0,0.1,0,2.7,"Keski-Suomi"
"Luhanka",12.4,22.4,25.7,31.1,2.8,2.2,0,2.6,0.2,0,0,0,0,0,0,0,0,0,0,0.7,"Keski-Suomi"
"Multia",12.7,16.3,4.2,48,4.8,6.5,0,5,0.4,0.4,0,0.2,0.1,0,0,0,0,0.1,0.1,1.1,"Keski-Suomi"
"Muurame",21.6,18.5,17.5,16.8,9.9,5.7,0,5.2,0.5,0.3,0.2,0.3,0.1,0,0.1,0.1,0,0.1,0,3,"Keski-Suomi"
"Petäjävesi",17.8,22.6,8.7,26.5,7.5,5.8,0,6.4,0.5,0.4,0.3,0.4,0.1,0,0,0.2,0,0,0,2.7,"Keski-Suomi"
"Pihtipudas",18.4,21.1,5.9,40.7,2.3,6.1,0,2.5,0.4,0.1,1.3,0.1,0,0,0.1,0.1,0,0.1,0,0.8,"Keski-Suomi"
"Saarijärvi",18.5,17.4,6.2,38.3,4.2,4.6,0,8.6,0.3,0.3,0.1,0.2,0,0,0.2,0.1,0,0.1,0.1,1.2,"Keski-Suomi"
"Toivakka",18.7,20.4,9.5,28.6,5.7,4.9,0,8.9,0.5,0.1,0.2,0.1,0.1,0,0.1,0.1,0,0.1,0.1,1.9,"Keski-Suomi"
"Uurainen",19.2,26.9,7.2,28.2,3.6,4.5,0,7.3,0.4,0.3,0.2,0.4,0,0,0.2,0.1,0,0,0,1.7,"Keski-Suomi"
"Viitasaari",21.1,24.1,7.9,26.7,4.4,5.2,0,7.9,0.3,0.3,0.3,0.1,0.1,0,0.5,0.2,0,0,0,1,"Keski-Suomi"
"Äänekoski",19.1,19.3,9.5,15.3,6.2,22.1,0,5.6,0.4,0.3,0.5,0.2,0.1,0,0.1,0.1,0,0,0.1,1.1,"Keski-Suomi"
"Alavieska",5.3,29.7,4.7,39.4,3.7,5.4,0.3,6.4,0.3,0.1,0.1,0.1,0.1,0,0,0,0.1,0.2,0,4.2,"Oulu"
"Haapajärvi",25.3,20.2,5.6,35.7,4.2,3.7,0.1,2.7,0.3,0.2,0.2,0.1,0,0,0.1,0,0,0,0,1.6,"Oulu"
"Haapavesi",5.7,21.3,5.8,44.9,2.9,12.1,0.1,1.9,1.9,0.3,0.2,0.3,0,0,0.1,0,0.1,0.1,0,2.3,"Oulu"
"Hailuoto",10.8,17.9,12.6,33.7,6,12.5,0.2,1.7,0.3,0,0.2,0.3,0.2,0,0,0,0.2,0.2,0,3.3,"Oulu"
"Hyrynsalmi",8.8,22.2,3.3,41.5,1.7,18,0.1,1.9,0.4,0.2,0.2,1.1,0.1,0,0,0,0.1,0.2,0,0.3,"Oulu"
"Ii",9.6,22.5,7.6,31.8,4.8,17.2,0.1,0.9,1.3,0.1,1.4,0.2,0.1,0,0,0,0.1,0.1,0,2.1,"Oulu"
"Kajaani",11.9,21.8,9.4,22.6,8.6,19.6,0.1,1.9,0.4,0.5,0.1,1.2,0.2,0.1,0.1,0,0,0,0,1.4,"Oulu"
"Kalajoki",7.4,19.9,10.3,41.1,4.7,8.2,0.2,4.4,0.5,0.3,0.4,0.4,0.1,0,0.1,0,0,0,0,2,"Oulu"
"Kempele",12.1,21.3,13.8,30.6,6,9.4,0.2,2.5,0.8,0.3,0.3,0.3,0.1,0,0,0,0.1,0,0,2.4,"Oulu"
"Kuhmo",9.1,18.4,3.8,47.9,3.7,11,0,4,0.5,0.2,0.2,0.7,0,0,0,0,0,0,0,0.5,"Oulu"
"Kuusamo",10.7,14.8,6.3,50,11.2,3.4,0.1,0.8,0.3,0.2,0.2,0.2,0.1,0,0,0,0,0.1,0,1.5,"Oulu"
"Kärsämäki",9.7,24.7,4.6,46.8,2.4,5.7,0.1,2.1,0.7,0.9,0.3,0.1,0,0,0.2,0,0,0,0,1.6,"Oulu"
"Liminka",7.3,21.1,10.5,38,6.6,8.6,0.1,2.4,1,0.1,0.3,0.3,0.2,0.1,0,0,0,0,0.1,3.4,"Oulu"
"Lumijoki",7.1,16.7,5.4,45.9,3.8,11.2,0,1.7,4.4,0.2,0.1,0.2,0,0.1,0,0,0.3,0,0,2.8,"Oulu"
"Merijärvi",2.2,18.9,1.8,60.1,3,6,0,2.5,0.5,0,0.8,0.8,0,0.2,0.3,0,0,0,0,2.8,"Oulu"
"Muhos",7.7,26.3,6.6,31.5,5.1,15,0.1,1.6,2.8,0.3,0.2,0.3,0.1,0,0,0,0,0,0,2.3,"Oulu"
"Nivala",6.7,27.9,4.1,49,3.5,3.5,0.1,2.3,0.4,0.1,0.5,0.2,0,0,0,0,0.1,0,0,1.5,"Oulu"
"Oulainen",9.6,21.3,5.6,36.3,3.8,10.4,0.1,8.1,0.4,0.2,0.5,0.2,0.1,0,0,0,0,0,0,3.3,"Oulu"
"Oulu",11.1,19.7,16.1,20.7,11.5,13.7,0.3,2,0.8,0.8,0.3,0.2,0.2,0.2,0.1,0,0.1,0,0,2.2,"Oulu"
"Paltamo",8.1,17.6,3.6,42.2,4.5,18.2,0.1,2.7,0.3,0.1,0.1,0.8,0.1,0.1,0.1,0,0.1,0.1,0,1.2,"Oulu"
"Pudasjärvi",8.2,21.3,4.2,50.4,3.9,7.7,0.1,1.1,0.6,0.2,0.5,0.2,0.1,0,0,0,0.1,0.1,0.1,1.3,"Oulu"
"Puolanka",6.6,17.9,4.3,42.8,3.5,18.5,0.1,1.8,0.1,0.1,0.7,1,0.3,0.1,0.1,0,0,0.6,0,1.3,"Oulu"
"Pyhäjoki",6.3,18.3,4.6,42.1,4.3,14.1,0.1,2.6,0.2,0.3,0.3,1.6,0.1,0,0,0,0.2,0.1,0.1,5,"Oulu"
"Pyhäjärvi",8,17.2,3.5,34.5,2.2,28.3,0,3.5,0.3,0.3,0.4,0,0.1,0,0,0,0,0.1,0,1.4,"Oulu"
"Pyhäntä",13.4,21,5.1,45.6,2.7,4.9,0,2,0,0.5,0.2,0.1,0,0,0.2,0,0.1,0.1,0,3.9,"Oulu"
"Raahe",11.2,19.1,5.5,30.7,3.5,20.6,0,2.3,0.3,0.1,0.3,0.3,0.1,0,0,0,0.1,0,0,5.9,"Oulu"
"Reisjärvi",7.2,18.3,4.1,56.5,2.1,5.5,0.1,2.4,0.7,0,0.9,0.3,0.1,0,0,0,0.1,0,0,1.8,"Oulu"
"Ristijärvi",5.8,18.3,7.2,44.1,4.7,14.6,0.3,2.3,0.3,0,0.3,1.1,0,0,0.1,0,0,0.1,0,0.8,"Oulu"
"Sievi",4.7,23.6,5.2,52,3.8,4.8,0,2.7,0.4,0.1,0.5,0.2,0,0.1,0.1,0,0.2,0,0,1.5,"Oulu"
"Siikajoki",8.6,18.7,4.7,42.6,2.3,8.8,0.1,1,0.5,0.1,0.4,0.4,0,0,0,0,0.1,0.1,0,11.5,"Oulu"
"Sotkamo",7.6,18.6,9.2,35.5,5,15.2,0.1,2.2,0.3,0.3,0.4,3.9,0.2,0,0,0,0.1,0,0,1.4,"Oulu"
"Suomussalmi",4.3,21.1,6.5,33.7,2.9,26.9,0.1,1.7,0.3,0,0.3,0.6,0,0,0.1,0,0.1,0,0,1.3,"Oulu"
"Vaala",9.4,22,3.5,37.5,3.5,17.5,0.1,1.7,1,0,0.3,0.1,0.1,0.1,0,0,0,0,0.1,3,"Oulu"
"Siikalatva",10.9,20.8,3.3,46.4,2.3,8.5,0.1,1.6,0.7,0.3,0.9,0.2,0,0,0.2,0,0.1,0,0,3.7,"Oulu"
"Taivalkoski",16.7,21.7,3.3,42.6,4.1,5.8,0,1.1,0.7,0.1,0.5,0.8,0,0,0.3,0,0,0,0,2.1,"Oulu"
"Tyrnävä",7,22,6,46.4,3.6,8.5,0,1.5,0.6,0.3,0.2,0.2,0.1,0.1,0,0,0.1,0,0,3.5,"Oulu"
"Utajärvi",9.7,30.2,3.7,34.1,3.8,13.9,0,0.6,1.8,0.2,0.6,0.1,0.1,0,0.1,0,0.2,0.1,0,1,"Oulu"
"Ylivieska",8,22.5,10,41.5,5.8,5,0.1,3.4,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0,0.1,0,0,2.4,"Oulu"
"Enontekiö",12.8,15.2,14.5,38.3,9.1,4.8,0.3,3.4,0.4,0.1,0.5,0,0.1,0,0,0,0,0,0,0.6,"Lappi"
"Inari",13.6,15.1,11.7,28.2,14.2,12.7,0.3,1.6,0.3,0.1,0.5,0,0.1,0,0.1,0,0,0,0.1,1.4,"Lappi"
"Kemi",23.6,19.8,7.2,13.6,5.1,26.3,0.1,0.7,0.3,0.3,0.7,0,0.1,0,0.4,0,0,0,0.1,1.8,"Lappi"
"Keminmaa",12.1,23.4,8.6,30.3,5.2,14.7,0.1,0.8,0.3,0.2,0.9,0,0,0,0.1,0,0.2,0,0,2.9,"Lappi"
"Kittilä",8.1,12.7,11.3,28.6,12.8,20.5,0.2,0.8,0.5,0.2,1.9,0,0.2,0,0.1,0,0,0,0,2,"Lappi"
"Kolari",9.3,12.3,6.7,26.6,14.7,26.5,0.1,0.8,0.2,0,1.1,0,0.1,0,0.4,0,0,0,0,1.1,"Lappi"
"Kemijärvi",10.5,16.2,7.9,34.9,4.6,19.8,0,3.6,1.3,0,0.2,0,0.1,0,0.1,0,0,0,0,0.7,"Lappi"
"Muonio",15,13.1,17.2,29.2,9.6,10.1,0.1,2.2,0.4,0.1,1.5,0,0.1,0,0.1,0,0.1,0,0.2,1.1,"Lappi"
"Pelkosenniemi",7.4,15.3,6.5,30.4,16.2,18.4,0,1.3,0.8,0.2,0.2,0,0,0,0,0,0,0,0,3.4,"Lappi"
"Posio",12.1,11.5,5,54.4,4.4,8.1,0.2,1.1,0.7,0.1,1.1,0,0,0,0.1,0,0,0,0,1.2,"Lappi"
"Ranua",7.8,15.7,6.5,57.3,3.3,4.7,0.1,1.1,0.4,0.3,1.1,0,0.1,0,0,0,0.1,0,0,1.6,"Lappi"
"Rovaniemi",14.6,15.8,17.5,22.8,14.2,9.5,0.1,1,0.6,0.5,0.6,0,0.2,0,0.1,0,0,0,0,2.5,"Lappi"
"Salla",7.4,14.2,5.8,44.8,3.8,21.4,0,0.9,0.9,0.1,0.2,0,0,0,0.1,0,0,0,0,0.3,"Lappi"
"Savukoski",3.1,15.5,6.6,39.1,7.1,24.3,0,0.9,0.1,0,0.4,0,0.1,0,0,0,0,0,0,2.7,"Lappi"
"Simo",10,26,4.4,40.9,2.7,13.2,0.2,0.4,0.3,0.1,0.4,0,0.1,0,0.2,0,0,0,0,1.3,"Lappi"
"Sodankylä",8.2,13.3,8.1,35.6,15.3,11.9,0.1,0.9,0.4,0.1,0.4,0,0.1,0,0.1,0,0,0,0,5.4,"Lappi"
"Tervola",7.9,19.4,4.1,42,4.7,17.9,0.2,0.8,0.4,0.1,1.6,0,0.1,0,0.1,0,0.2,0,0,0.6,"Lappi"
"Tornio",11.9,22.4,7.5,37.9,5.9,11.3,0.1,0.6,0.2,0.2,0.6,0,0.1,0,0.1,0,0,0,0,1.3,"Lappi"
"Pello",10.9,19.2,6.9,37.7,4.8,17.3,0,0.9,0.4,0,0.8,0,0.3,0,0.1,0,0,0,0.2,0.7,"Lappi"
"Utsjoki",21.5,13,11.6,26.7,10.5,9.1,2.8,2.8,0.4,0,0.3,0,0,0,0.1,0,0,0,0,1.1,"Lappi"
"Ylitornio",10.1,14,4.7,44.9,3.9,19.1,0.1,0.7,0.2,0.1,0.6,0,0,0,0.2,0,0,0,0,1.1,"Lappi"
